,borough,neighborhood,building_class_category,block,lot,address,zip_code,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date,nyc,manhattan,brooklyn,staten_island,bronx,queens
11350,manhattan,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS,1428,13.0,"225 EAST 73RD STREET, 3A",10021,1932,2,D4,1595000.0,2/26/19,True,True,False,False,False,False
8445,manhattan,MIDTOWN WEST,13 CONDOS - ELEVATOR APARTMENTS,1009,1107.0,"146 WEST 57TH STREET, 35C",10019,,2,R4,1575000.0,7/2/19,True,True,False,False,False,False
45143,bronx,THROGS NECK,01 ONE FAMILY DWELLINGS,5593,1.0,2776 MILES AVENUE,10465,1960,1,A5,530000.0,11/14/19,True,False,False,False,True,False
37940,brooklyn,WILLIAMSBURG-EAST,13 CONDOS - ELEVATOR APARTMENTS,2742,1102.0,"88 WITHERS STREET, 3B",11211,2018,2,R4,785000.0,6/21/19,True,False,True,False,False,False
54389,queens,FLUSHING-NORTH,13 CONDOS - ELEVATOR APARTMENTS,5066,3198.0,"131-01 40TH ROAD, 20V",11354,2016,2,R4,1234373.0,6/26/19,True,False,False,False,False,True
15281,manhattan,UPPER WEST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS,1195,18.0,"15 WEST 81ST STREET, 5E",10024,1930,2,D4,2500000.0,4/30/19,True,True,False,False,False,False
46318,bronx,WOODLAWN,01 ONE FAMILY DWELLINGS,3383,29.0,340 EAST 235 STREET,10470,1925,1,A1,422000.0,10/18/19,True,False,False,False,True,False
29350,brooklyn,FLATBUSH-LEFFERTS GARDEN,10 COOPS - ELEVATOR APARTMENTS,5048,34.0,"80 WINTHROP STREET, B2",11225,1927,2,D4,398000.0,4/15/19,True,False,True,False,False,False
56447,queens,FOREST HILLS,10 COOPS - ELEVATOR APARTMENTS,3205,8.0,"68-20 BURNS STREET, A4",11375,1920,2,D4,544000.0,12/13/19,True,False,False,False,False,True
52252,queens,FAR ROCKAWAY,13 CONDOS - ELEVATOR APARTMENTS,15557,1054.0,"1011 NAMEOKE STREET, 5J",11691,1960,2,R4,158000.0,3/25/19,True,False,False,False,False,True
70969,queens,WOODHAVEN,01 ONE FAMILY DWELLINGS,8966,22.0,89-32 85TH STREET,11421,1910,1,A1,572000.0,4/3/19,True,False,False,False,False,True
76977,staten_island,ROSEBANK,01 ONE FAMILY DWELLINGS,2859,131.0,295 DEAL COURT,10305,1995,1,A5,557500.0,4/5/19,True,False,False,True,False,False
5533,manhattan,INWOOD,10 COOPS - ELEVATOR APARTMENTS,2248,1.0,"91 PAYSON AVENUE, 5F",10034,1935,2,D4,399000.0,1/8/19,True,True,False,False,False,False
66097,queens,RIDGEWOOD,02 TWO FAMILY DWELLINGS,3372,21.0,2126 BLEECKER STREET,11385,1910,1,B1,815000.0,2/6/19,True,False,False,False,False,True
10675,manhattan,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,215,1138.0,"415 GREENWICH STREET, 5G",10013,1913,2,R4,5250000.0,6/26/19,True,True,False,False,False,False
9116,manhattan,MORNINGSIDE HEIGHTS,10 COOPS - ELEVATOR APARTMENTS,1978,1.0,"100 LASALLE STREET, 13H",10027,1956,2,D4,510000.0,10/17/19,True,True,False,False,False,False
58849,queens,HOWARD BEACH,10 COOPS - ELEVATOR APARTMENTS,11434,50.0,"88-29 155TH AVENUE, 3C",11414,1960,2,D4,249998.0,2/4/19,True,False,False,False,False,True
33815,brooklyn,OCEAN PARKWAY-NORTH,01 ONE FAMILY DWELLINGS,6503,121.0,316 WALSH COURT,11230,1920,1,A1,905000.0,3/18/19,True,False,True,False,False,False
4066,manhattan,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS,601,1347.0,"160 LEROY STREET, 11AS",10014,2016,2,R4,13500000.0,2/6/19,True,True,False,False,False,False
44493,bronx,SOUNDVIEW,01 ONE FAMILY DWELLINGS,3527,31.0,550 BOLTON AVE,10473,1963,1,A5,45000.0,10/7/19,True,False,False,False,True,False
39246,bronx,BAYCHESTER,01 ONE FAMILY DWELLINGS,4898,55.0,1224 EAST 224TH STREET,10466,1910,1,A1,210000.0,5/29/19,True,False,False,False,True,False
30488,brooklyn,GOWANUS,13 CONDOS - ELEVATOR APARTMENTS,1027,1070.0,"500 4TH AVENUE, 6D",11215,,2,R4,776000.0,9/27/19,True,False,True,False,False,False
